var1,var2,var3,var4
50.5870425,40.37723115,22.2207747,114.5954817
51.285927,42.10802565,30.84988755,137.2130727
87.355872,176.1146726,61.96947885,318.0975147
226.2368865,267.6446205,130.5985296,565.036392
820.1128178,726.1714838,230.6628423,1705.044124
1117.179069,847.9462448,271.8135369,2351.895031
604.2283338,464.8369929,139.0536249,1383.913263
286.5210687,224.3522436,121.7714777,752.8655883
292.7284764,159.6228746,116.624592,705.056729
147.6081588,89.23535535,43.54425675,347.0064734
87.2479905,90.93144015,20.77281735,235.9349643
66.426861,70.07372475,14.30837025,165.7209936
52.374123,70.3715715,12.1230663,167.338278
62.1538155,98.8307112,12.9054417,176.9955485
119.8938705,194.8705749,26.60779935,370.1414265
249.8798208,390.9559893,57.32213145,687.5513139
